Estudio,Plataforma,N.¼ de muestras de tejido adiposo,indicadorMT,Muestras de tejido adiposo
GSE117352,GPL1261,10,MONOTEJIDO,ALL
GSE140953,GPL1261,12,MONOTEJIDO,ALL
GSE110531,GPL1261,23,MONOTEJIDO,ALL
GSE66132,GPL1261,16,MONOTEJIDO,ALL
GSE87854,GPL1261,12,MONOTEJIDO,ALL
GSE87853,GPL1261,11,MONOTEJIDO,ALL
GSE77943,GPL1261,21,MULTITEJIDO,"'GSM2061955', 'GSM2061962', 'GSM2061967', 'GSM2061971', 'GSM2061976', 'GSM2061981', 'GSM2061986', 'GSM2061991', 'GSM2061996', 'GSM2062001', 'GSM2062009', 'GSM2062011', 'GSM2062016', 'GSM2062021', 'GSM2062027', 'GSM2062032', 'GSM2062037', 'GSM2062042', 'GS"
GSE97240,GPL1261,34,MULTITEJIDO,"'GSM2560037', 'GSM2560038', 'GSM2560039', 'GSM2560040', 'GSM2560041', 'GSM2560042', 'GSM2560043', 'GSM2560044', 'GSM2560045', 'GSM2560046', 'GSM2560047', 'GSM2560048', 'GSM2560049', 'GSM2560050', 'GSM2560051', 'GSM2560052', 'GSM2560054', 'GSM2560056', 'GS"
GSE71367,GPL1261,27,MONOTEJIDO,ALL
GSE67389,GPL1261,16,MONOTEJIDO,ALL
GSE51080,GPL1261,18,MONOTEJIDO,ALL
GSE53403,GPL1261,16,MONOTEJIDO,ALL
GSE30247,GPL1261,16,MONOTEJIDO,ALL
GSE39562,GPL1261,26,MONOTEJIDO,ALL
GSE27309,GPL1261,10,MONOTEJIDO,ALL
GSE13432,GPL1261,12,MONOTEJIDO,ALL
GSE38321,GPL6246,10,MONOTEJIDO,ALL
GSE79434,GPL6246,24,MULTITEJIDO,"'GSM2095226', 'GSM2095227', 'GSM2095228', 'GSM2095229', 'GSM2095230', 'GSM2095231', 'GSM2095232', 'GSM2095233', 'GSM2095234', 'GSM2095235', 'GSM2095236', 'GSM2095237', 'GSM2095287', 'GSM2095288', 'GSM2095289', 'GSM2095290', 'GSM2095291', 'GSM2095292', 'GS"
GSE54650,GPL6246,48,MULTITEJIDO,"'GSM1321062', 'GSM1321063', 'GSM1321064', 'GSM1321065', 'GSM1321066', 'GSM1321067', 'GSM1321068', 'GSM1321069', 'GSM1321070', 'GSM1321071', 'GSM1321072', 'GSM1321073', 'GSM1321074', 'GSM1321075', 'GSM1321076', 'GSM1321077', 'GSM1321078', 'GSM1321079', 'GS"
GSE55272,GPL6246,12,MULTITEJIDO,"'GSM1333082', 'GSM1333083', 'GSM1333084', 'GSM1333085', 'GSM1333086', 'GSM1333087', 'GSM1333100', 'GSM1333101', 'GSM1333102', 'GSM1333103', 'GSM1333104', 'GSM1333105'"
GSE35026,GPL6246,24,MONOTEJIDO,ALL
GSE37514,GPL6246,15,MONOTEJIDO,ALL
GSE70300,GPL6887,10,MULTITEJIDO,"'GSM1723369', 'GSM1723371', 'GSM1723376', 'GSM1723377', 'GSM1723379', 'GSM1723380', 'GSM1723382', 'GSM1723383', 'GSM1723385', 'GSM1723389'"
GSE97145,GPL6887,11,MONOTEJIDO,ALL
GSE64718,GPL6887,33,MONOTEJIDO,ALL
GSE62612,GPL6887,11,MULTITEJIDO,"'GSM1530015', 'GSM1530016', 'GSM1530017', 'GSM1530018', 'GSM1530019', 'GSM1530020', 'GSM1530021', 'GSM1530022', 'GSM1530023', 'GSM1530024', 'GSM1530025'"
GSE62937,GPL6887,24,MONOTEJIDO,ALL
GSE55057,GPL6887,12,MONOTEJIDO,ALL
GSE39549,GPL6887,40,MULTITEJIDO,"'GSM971546', 'GSM971547', 'GSM971548', 'GSM971549', 'GSM971550', 'GSM971551', 'GSM971552', 'GSM971553', 'GSM971554', 'GSM971555', 'GSM971556', 'GSM971557', 'GSM971558', 'GSM971559', 'GSM971560', 'GSM971561', 'GSM971562', 'GSM971563', 'GSM971564', 'GSM9715"
GSE50647,GPL6887,42,MONOTEJIDO,ALL
GSE33684,GPL6885,16,MONOTEJIDO,ALL
GSE113808,GPL6885,16,MONOTEJIDO,ALL
GSE104128,GPL6885,16,MULTITEJIDO,"'GSM2790383', 'GSM2790384', 'GSM2790385', 'GSM2790386', 'GSM2790387', 'GSM2790388', 'GSM2790389', 'GSM2790390', 'GSM2790391', 'GSM2790392', 'GSM2790393', 'GSM2790394', 'GSM2790395', 'GSM2790396', 'GSM2790397', 'GSM2790398'"
GSE97910,GPL6885,72,MONOTEJIDO,ALL
GSE70857,GPL6885,48,MULTITEJIDO,"'GSM1820563', 'GSM1820564', 'GSM1820565', 'GSM1820566', 'GSM1820567', 'GSM1820568', 'GSM1820569', 'GSM1820570', 'GSM1820571', 'GSM1820572', 'GSM1820573', 'GSM1820574', 'GSM1820587', 'GSM1820588', 'GSM1820589', 'GSM1820590', 'GSM1820591', 'GSM1820592', 'GS"
GSE62324,GPL6885,12,MONOTEJIDO,ALL
GSE57659,GPL6885,179,MONOTEJIDO,ALL
GSE39313,GPL6885,16,MULTITEJIDO,"'GSM960692', 'GSM960693', 'GSM960694', 'GSM960695', 'GSM960696', 'GSM960697', 'GSM960698', 'GSM960699', 'GSM960700', 'GSM960701', 'GSM960718', 'GSM960719', 'GSM960720', 'GSM960721', 'GSM960722', 'GSM960723'"
GSE118876,GPL16570,12,MONOTEJIDO,ALL
GSE104955,GPL16570,16,MONOTEJIDO,ALL
GSE87661,GPL16570,24,MONOTEJIDO,ALL
GSE79711,GPL16570,12,MONOTEJIDO,ALL
GSE60150,GPL16570,37,MONOTEJIDO,ALL
