GSEIDs,nSamples_tot,nSamples_adi,indicadorMT,adiGSMs,,
GSE140954,22,12,MULTITEJIDO,"'GSM4191290','GSM4191291','GSM4191292','GSM4191293','GSM4191294','GSM4191295','GSM4191296','GSM4191297','GSM4191298','GSM4191299','GSM4191300','GSM4191301'",** REVISADO,superserie
GSE140953,12,12,MONOTEJIDO,ALL,** REVISADO,serie
GSE117353,10,10,MONOTEJIDO,ALL,** REVISADO,superserie
GSE117352,10,10,MONOTEJIDO,ALL,** REVISADO,serie
GSE110531,23,23,MONOTEJIDO,ALL,,
GSE66132,16,16,MONOTEJIDO,ALL,,
GSE66131,8,8,MONOTEJIDO,ALL,,
GSE66130,8,8,MONOTEJIDO,ALL,,
GSE106271,8,8,MONOTEJIDO,ALL,,
GSE106270,3,3,MONOTEJIDO,ALL,,
GSE87854,12,12,MONOTEJIDO,ALL,,
GSE87853,11,11,MONOTEJIDO,ALL,,
GSE77943,62,21,MULTITEJIDO,"'GSM2061955', 'GSM2061962', 'GSM2061967', 'GSM2061971', 'GSM2061976', 'GSM2061981', 'GSM2061986', 'GSM2061991', 'GSM2061996', 'GSM2062001', 'GSM2062009', 'GSM2062011', 'GSM2062016', 'GSM2062021', 'GSM2062027', 'GSM2062032', 'GSM2062037', 'GSM2062042', 'GSM2062047', 'GSM2062052', 'GSM2062058'",,
GSE97240,74,34,MULTITEJIDO,"'GSM2560037', 'GSM2560038', 'GSM2560039', 'GSM2560040', 'GSM2560041', 'GSM2560042', 'GSM2560043', 'GSM2560044', 'GSM2560045', 'GSM2560046', 'GSM2560047', 'GSM2560048', 'GSM2560049', 'GSM2560050', 'GSM2560051', 'GSM2560052', 'GSM2560054', 'GSM2560056', 'GSM2560058', 'GSM2560061', 'GSM2560062', 'GSM2560064', 'GSM2560066', 'GSM2560068', 'GSM2560071', 'GSM2560072', 'GSM2560074', 'GSM2560075', 'GSM2560077', 'GSM2560081', 'GSM2560082', 'GSM2560084', 'GSM2560086', 'GSM2560088'",,
GSE71367,27,27,MONOTEJIDO,ALL,,
GSE67389,16,16,MONOTEJIDO,ALL,,
GSE51080,18,18,MONOTEJIDO,ALL,,
GSE53403,16,16,MONOTEJIDO,ALL,,
GSE46209,21,6,MULTITEJIDO,"'GSM1126365', 'GSM1126366', 'GSM1126367', 'GSM1126368', 'GSM1126369', 'GSM1126370'",,
GSE36492,2,2,MONOTEJIDO,ALL,,
GSE30247,16,16,MONOTEJIDO,ALL,,
GSE39562,26,26,MONOTEJIDO,ALL,,
GSE31940,8,8,MONOTEJIDO,ALL,,
GSE27309,10,10,MONOTEJIDO,ALL,,
GSE24207,73,3,MULTITEJIDO,"'GSM595396', 'GSM595397', 'GSM595398'",,
GSE21754,2,2,MONOTEJIDO,ALL,,
GSE17923,6,6,MONOTEJIDO,ALL,,
GSE7852,18,6,MULTITEJIDO,"'GSM190555', 'GSM190556', 'GSM190562', 'GSM190563', 'GSM190564', 'GSM190565'",,
GSE13432,12,12,MONOTEJIDO,ALL,,
GSE13585,12,6,MULTITEJIDO,"'GSM341691', 'GSM341692', 'GSM341693', 'GSM341694', 'GSM341695', 'GSM341696'",,
GSE13582,6,6,MONOTEJIDO,ALL,,
GSE10246,182,4,MULTITEJIDO,"'GSM258611', 'GSM258612', 'GSM258613', 'GSM258614'",,
GSE9954,70,3,MULTITEJIDO,"'GSM252093', 'GSM252094', 'GSM252095'",,
GSE8044,6,6,MONOTEJIDO,ALL,,
